trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
31,0,31,0,79.79022579989396,,79.75994909997098,5,79.79022579989396,79.79022579989396,0.02244009997230023,81.85266479989514,[0.2814814814814815],[-0.4425925925925926],[1],[0],[0],[2.0708050000248477],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
32,0,32,0,81.8833472999977,,81.85638049989939,5,81.8833472999977,81.8833472999977,0.01933929999358952,83.5674920999445,[0.18981481481481483],[0.3435185185185185],[1],[0],[0],[1.6920130000216886],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
33,0,33,0,83.61842839990277,,83.57145229994785,10,83.61842839990277,83.61842839990277,0.03454619995318353,86.15081359993201,[0.06944444444444445],[-0.44166666666666665],[1],[0],[0],[2.5449471999891102],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
34,0,34,0,86.18117939995136,,86.15422719996423,5,86.18117939995136,86.18117939995136,0.018953799968585372,88.1845496998867,[-0.3074074074074074],[-0.19166666666666668],[1],[0],[0],[2.0114512000000104],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
35,0,35,0,88.236094999942,,88.19028909993358,10,88.236094999942,88.236094999942,0.03327580005861819,90.48456069990061,[0.26296296296296295],[-0.2361111111111111],[1],[0],[0],[2.2612153999507427],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
36,0,36,0,90.51245919999201,,90.48881479992997,5,90.51245919999201,90.51245919999201,0.016575100016780198,91.88627559994347,[0.19722222222222222],[-0.08518518518518518],[1],[0],[0],[1.3810097000095993],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
37,0,37,0,91.92043239995837,,91.89291499997489,5,91.92043239995837,91.92043239995837,0.020590799977071583,93.6201728999149,[-0.09537037037037037],[0.23981481481481481],[1],[0],[0],[1.7072477999608964],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
38,0,38,0,93.67141299997456,,93.62674549990334,5,93.67141299997456,93.67141299997456,0.020036600064486265,95.08714719989803,[-0.3351851851851852],[-0.05740740740740741],[1],[0],[0],[1.4404831998981535],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
39,0,39,0,95.13902269990649,,95.09435209992807,10,95.13902269990649,95.13902269990649,0.034905800013802946,97.60243519989308,[0.29444444444444445],[0.4898148148148148],[1],[0],[0],[2.4740263000130653],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
40,0,40,0,97.65086669998709,,97.60888849990442,10,97.65086669998709,97.65086669998709,0.031238700030371547,99.55122709996067,[0.44722222222222224],[0.26851851851851855],[1],[0],[0],[1.9115879000164568],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
41,0,41,0,99.59313659998588,,99.55513359990437,5,99.59313659998588,99.59313659998588,0.016425999929197133,100.63478119997308,[0.037037037037037035],[0.18055555555555555],[1],[0],[0],[1.0634506000205874],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
42,0,42,0,100.66648049990181,,100.64048959990032,5,100.66648049990181,100.66648049990181,0.019140399992465973,103.08678729995154,[0.06759259259259259],[0.42314814814814816],[1],[0],[0],[2.4274726000148803],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
43,0,43,0,103.13557079993188,,103.09197579999454,5,103.13557079993188,103.13557079993188,0.01998970005661249,105.53659769997466,[-0.19722222222222222],[-0.4462962962962963],[1],[0],[0],[2.424973899964243],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
