trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
38,0,38,0,107.33297600003425,,107.28153470007237,10,107.33297600003425,107.33297600003425,0.03255839995108545,108.57887580001261,[0.31203703703703706],[-0.37777777777777777],[1],[0],[0],[1.2647671999875456],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
39,0,39,0,108.61302620009519,,108.58532630000263,5,108.61302620009519,108.61302620009519,0.018703200039453804,110.6119972000597,[-0.10740740740740741],[-0.05740740740740741],[1],[0],[0],[2.0087638000259176],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
40,0,40,0,110.66520859999582,,110.6165482000215,10,110.66520859999582,110.66520859999582,0.0334024999756366,112.34483650000766,[0.25462962962962965],[-0.32314814814814813],[1],[0],[0],[1.695353899965994],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
41,0,41,0,112.3942917000968,,112.34806320001371,10,112.3942917000968,112.3942917000968,0.03002910001669079,116.5117506000679,[-0.2740740740740741],[-0.4546296296296296],[1],[0],[0],[4.133664799970575],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
42,0,42,0,116.56346810003743,,116.51610620005522,10,116.56346810003743,116.56346810003743,0.03149330010637641,121.56149790005293,[-0.3194444444444444],[0.45555555555555555],[1],[0],[0],[5.014182199956849],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
43,0,43,0,121.61148449999746,,121.56710340001155,10,121.61148449999746,121.61148449999746,0.03111350000835955,124.6612517000176,[0.4898148148148148],[-0.4351851851851852],[1],[0],[0],[3.063604399911128],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
44,0,44,0,124.73160470009316,,124.66529110004194,10,124.73160470009316,124.73160470009316,0.05078049993608147,127.56308039999567,[-0.001851851851851852],[0.35462962962962963],[1],[0],[0],[2.8469837000593543],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
45,0,45,0,127.61360899999272,,127.56830280006398,10,127.61360899999272,127.61360899999272,0.031072499928995967,133.461839399999,[0.22314814814814815],[0.0824074074074074],[1],[0],[0],[5.862733499961905],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
46,0,46,0,133.49907570006326,,133.46803119999822,5,133.49907570006326,133.49907570006326,0.02043719997163862,142.71273420006037,[0.30185185185185187],[0.04814814814814815],[1],[0],[0],[9.22457530000247],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
47,0,47,0,142.74624480004422,,142.71788660006132,5,142.74624480004422,142.74624480004422,0.018277899944223464,144.49682220001705,[-0.3277777777777778],[0.34444444444444444],[1],[0],[0],[1.7607271000742912],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
48,0,48,0,144.53077100007795,,144.50305520009715,5,144.53077100007795,144.53077100007795,0.017889800015836954,146.51373510004487,[-0.3731481481481482],[-0.17777777777777778],[1],[0],[0],[1.993219800060615],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
49,0,49,0,146.54720290005207,,146.5178314000368,5,146.54720290005207,146.54720290005207,0.020674999919719994,148.72925139998551,[0.3509259259259259],[-0.032407407407407406],[1],[0],[0],[2.1909710000036284],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
50,0,50,0,148.7591385000851,,148.73422169999685,5,148.7591385000851,148.7591385000851,0.017312100040726364,151.22760029998608,[-0.014814814814814815],[-0.4759259259259259],[1],[0],[0],[2.476365700014867],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
51,0,51,0,151.2887321000453,,151.23196590004954,10,151.2887321000453,151.2887321000453,0.036518000066280365,152.94461170001887,[0.10833333333333334],[-0.06851851851851852],[1],[0],[0],[1.6764707999536768],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
52,0,52,0,152.99383809999563,,152.9478012000909,10,152.99383809999563,152.99383809999563,0.034652000060305,154.59530660009477,[0.3592592592592593],[0.17777777777777778],[1],[0],[0],[1.6128104999661446],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
53,0,53,0,154.62605780002195,,154.60100950009655,5,154.62605780002195,154.62605780002195,0.01726210000924766,156.146942100022,[0.20277777777777778],[-0.03796296296296296],[1],[0],[0],[1.5291978999739513],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
54,0,54,0,156.18324919999577,,156.15492840006482,5,156.18324919999577,156.18324919999577,0.021779000060632825,158.39444760000333,[0.12037037037037036],[-0.42407407407407405],[1],[0],[0],[2.21893380000256],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
55,0,55,0,158.4452934000874,,158.39756850001868,10,158.4452934000874,158.4452934000874,0.0323289999505505,160.64458870003,[0.13148148148148148],[-0.26481481481481484],[1],[0],[0],[2.214850899996236],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
56,0,56,0,160.673478599987,,160.64776389999315,5,160.673478599987,160.673478599987,0.015330499969422817,162.21224010002334,[-0.2101851851851852],[-0.05462962962962963],[1],[0],[0],[1.549285399960354],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
57,0,57,0,162.24861190002412,,162.2160273999907,5,162.24861190002412,162.24861190002412,0.02136310003697872,164.19447870005388,[-0.08703703703703704],[0.5],[1],[0],[0],[1.957315200008452],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
58,0,58,0,164.22518130007666,,164.19742790004238,5,164.22518130007666,164.22518130007666,0.0188400000333786,165.71312289999332,[-0.19166666666666668],[0.0962962962962963],[1],[0],[0],[1.4966470000799745],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
59,0,59,0,165.74802649999037,,165.7202361000236,5,165.74802649999037,165.74802649999037,0.019884799956344068,168.4474742000457,[-0.20462962962962963],[-0.3388888888888889],[1],[0],[0],[2.7080724999541417],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
