reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,9,2,65,5,175.58723049995024,,175.57461749995127,175.58723049995024,176.58727499999804,176.58727499999804,176.58727499999804,178.19133829994826,t,1.59967389999656,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,9,3,66,0,178.20463890000246,,178.1928496999899,178.20463890000246,179.20400759996846,179.20400759996846,179.20400759996846,180.54053769999882,l,1.3315853000385687,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,9,4,67,6,180.5539615000016,,180.54199329996482,180.5539615000016,181.5537925999961,181.5537925999961,181.5537925999961,182.95552039996255,t,1.3890795999905095,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,9,5,68,1,182.9703059999738,,182.95644270000048,182.9703059999738,183.97061609994853,183.97061609994853,183.97061609994853,185.73900909995427,l,1.7579134000116028,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,9,6,69,4,185.75362169998698,,185.73991699999897,185.75362169998698,186.75395759998355,186.75395759998355,186.75395759998355,187.78897599998163,t,1.0224790000356734,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,10,0,70,2,187.80367049999768,,187.7899651999469,187.80367049999768,188.80385169998044,188.80385169998044,188.80385169998044,190.00636329996632,l,1.1861970000318252,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,10,1,71,1,190.02020529995207,,190.00718669994967,190.02020529995207,191.02050099999178,191.02050099999178,191.02050099999178,192.15619129996048,l,1.1288105999701656,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,10,2,72,3,192.17020629998296,,192.1574879999971,192.17020629998296,193.17054319998715,193.17054319998715,193.17054319998715,194.25581439997768,t,1.0782525999820791,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,10,3,73,5,194.27115249994677,,194.25686769996537,194.27115249994677,195.27055229997495,195.27055229997495,195.27055229997495,197.0564853999531,t,1.7811900000087917,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,10,4,74,0,197.07027179998113,,197.05785059998743,197.07027179998113,198.07064969994826,198.07064969994826,198.07064969994826,199.05558079999173,l,0.9683814000454731,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,10,5,75,6,199.0700506999856,,199.05681539996294,199.0700506999856,200.070593499986,200.070593499986,200.070593499986,201.63859819999197,t,1.5502500000293367,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,10,6,76,4,201.65348959999392,,201.64008539996576,201.65348959999392,202.65390299999854,202.65390299999854,202.65390299999854,204.0727599999518,t,1.4122320000315085,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,11,0,77,0,204.08697439997923,,204.07401089998893,204.08697439997923,205.08732249995228,205.08732249995228,205.08732249995228,206.02247079997323,l,0.9227301999926567,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,11,1,78,3,206.03686959994957,,206.02333929995075,206.03686959994957,207.0369747999939,207.0369747999939,207.0369747999939,208.10625169996638,t,1.0635401000035927,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,11,2,79,4,208.12022139999317,,208.10751339996932,208.12022139999317,209.1209089999902,209.1209089999902,209.1209089999902,210.05662489996757,l,0.9296900000190362,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,11,3,80,2,210.07034239999484,,210.05806529999245,210.07034239999484,211.07047949999105,211.07047949999105,211.07047949999105,213.6728798999684,t,2.5943167000077665,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,11,4,81,6,213.68686619994696,,213.67374709999422,213.68686619994696,214.68733009998687,214.68733009998687,214.68733009998687,216.38938319997396,t,1.6943807000061497,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,11,5,82,5,216.4036841999623,,216.39041559997713,216.4036841999623,217.40417860000161,217.40417860000161,217.40417860000161,219.3560210999567,t,1.9460444999858737,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,11,6,83,1,219.3701964999782,,219.35759019997204,219.3701964999782,220.37077689997386,220.37077689997386,220.37077689997386,221.80546759994468,l,1.417958699981682,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
